,prob_basketball,prob_football,prob_tennis,sentiment,polarity
37,1.95313e-08,0.03125,0.835938,0.0,-0.7
38,1.95313e-08,0.03125,1.95313e-08,0.0,-0.6
39,1.95313e-08,0.03125,1.95313e-08,0.0,0.0
40,1.95313e-08,0.03125,1.95313e-08,0.0,-0.2
41,1.95313e-08,0.03125,0.972656,1.0,0.11111111111111112
42,1.95313e-08,0.03125,0.835938,1.0,0.5
43,1.95313e-08,0.03125,0.835938,0.0,0.0
44,1.95313e-08,0.03125,0.986328,0.0,0.0
45,1.95313e-08,0.03125,0.996094,1.0,0.3416666666666666
46,1.95313e-08,0.03125,0.835938,0.0,-0.25
47,1.95313e-08,0.03125,1.95313e-08,0.0,0.0
48,1.95313e-08,0.03125,1.95313e-08,1.0,0.25
49,1.95313e-08,0.03125,1.95313e-08,1.0,0.6678571428571428
50,1.95313e-08,0.03125,1.95313e-08,0.0,0.0
51,0.00195314,0.00195314,0.943359,0.0,-0.225
52,1.95313e-08,0.03125,0.0214844,1.0,0.125
53,1.95313e-08,0.832031,0.835938,0.0,-0.10416666666666667
54,1.95313e-08,0.03125,0.835938,0.0,0.0
55,1.95313e-08,0.03125,0.835938,0.0,0.0
56,1.95313e-08,0.00195314,0.962891,0.0,-0.11666666666666668
57,1.95313e-08,0.03125,0.835938,0.0,0.0
58,1.95313e-08,0.00195314,1.95313e-08,0.0,0.0
59,1.95313e-08,0.03125,0.835938,0.0,-0.5
60,1.95313e-08,0.03125,0.996094,1.0,0.4375
61,1.95313e-08,0.03125,1.95313e-08,0.0,0.0
62,1.95313e-08,0.03125,0.996094,1.0,0.4583333333333333
63,1.95313e-08,0.03125,1.95313e-08,0.0,0.0
64,1.95313e-08,0.03125,0.835938,0.0,-0.15555555555555556
65,1.95313e-08,0.03125,0.835938,0.0,0.0
66,1.95313e-08,0.03125,0.835938,0.0,-0.2916666666666667
67,1.95313e-08,0.03125,0.0820313,0.0,0.0
68,1.95313e-08,0.03125,1.95313e-08,0.0,0.0
69,1.95313e-08,0.03125,1.95313e-08,1.0,0.6333333333333334
70,1.95313e-08,0.03125,0.835938,0.0,0.0625
71,1.95313e-08,0.03125,0.0820313,1.0,0.4777777777777778
72,1.95313e-08,0.998047,0.84375,0.0,0.0016666666666666663
73,1.95313e-08,0.03125,0.835938,0.0,-0.07142857142857142
74,1.95313e-08,0.03125,0.503906,1.0,0.5
75,1.95313e-08,0.03125,0.835938,0.0,0.0
76,1.95313e-08,0.03125,0.986328,0.0,-0.13333333333333333
77,1.95313e-08,0.03125,0.996094,0.0,0.05
78,1.95313e-08,0.03125,0.835938,0.0,0.0
79,1.95313e-08,0.03125,1.95313e-08,0.0,0.0
80,1.95313e-08,0.03125,0.0820313,0.0,0.0
81,1.95313e-08,0.03125,0.835938,0.0,0.0
82,1.95313e-08,0.03125,1.95313e-08,0.0,0.0
83,0.501953,0.03125,0.998047,1.0,0.3375
84,1.95313e-08,0.03125,0.835938,1.0,0.6000000000000001
85,1.95313e-08,0.03125,0.835938,1.0,0.20952380952380953
86,1.95313e-08,0.03125,1.95313e-08,0.0,0.0
87,1.95313e-08,0.03125,1.95313e-08,0.0,0.0
88,0.00195314,1.95313e-08,1.95313e-08,0.0,0.041666666666666664
89,1.95313e-08,0.03125,1.95313e-08,1.0,0.75
90,1.95313e-08,0.03125,0.996094,0.0,0.0
91,1.95313e-08,0.03125,0.835938,1.0,0.5
92,1.95313e-08,0.03125,1.95313e-08,0.0,0.0
93,1.95313e-08,0.03125,0.835938,0.0,0.0
94,1.95313e-08,0.03125,0.835938,1.0,0.43333333333333335
95,1.95313e-08,0.03125,0.996094,0.0,0.05454545454545454
96,1.95313e-08,0.03125,0.835938,0.0,0.0
97,1.95313e-08,0.03125,1.95313e-08,0.0,-0.2
98,1.95313e-08,0.03125,0.835938,0.0,0.0
99,1.95313e-08,0.03125,0.986328,0.0,0.0
100,1.95313e-08,0.03125,1.95313e-08,0.0,0.04999999999999999
101,1.95313e-08,0.03125,0.835938,0.0,0.09999999999999998
102,1.95313e-08,0.03125,0.986328,0.0,0.0
103,1.95313e-08,0.03125,0.986328,0.0,-0.04513888888888889
104,1.95313e-08,0.03125,1.95313e-08,1.0,0.9
105,1.95313e-08,0.03125,0.138672,1.0,0.5
106,1.95313e-08,0.03125,1.95313e-08,1.0,0.3269230769230769
107,0.998047,0.03125,1.95313e-08,0.0,0.0
108,1.95313e-08,0.03125,1.95313e-08,0.0,0.0
